Date,L1_BTC_Supply,L1_BalanceSheet_FED,L1_BalanceSheet_global,L1_Bitcoin_Wikipedia_Search,L1_Dollar_Index,L1_GLD,L1_HashRate,L1_M2_Liquidity,L1_Miners_Revenue_USD,L1_Mining_Difficulty,L1_Nr_Addresses,L1_Nr_Transactions,L1_OIL_USD,L1_QQQ,L1_TLT,L1_Ten_YR_USA,L1_USD_OnChain_Volume,L1_VIX,BTC_USD
2024-04-19,7.294044265081289,6.871466450296752,4.367215479544651,3.513560028605293,2.0254697228106644,2.33304403597937,8.76644125660051,4.324436797945258,7.797082240573748,13.924009904701778,5.828311345383287,5.676684858339616,1.9327780886273715,2.6410519986660552,1.9498148824121488,0.6531160001620855,9.925703910891745,1.238297054476302,4.805149066318381
2024-04-20,,,,,,,,,,,,,,,,,,,
2024-04-21,,,,,,,,,,,,,,,,,,,
2024-04-22,,,,,,,,,,,,,,,,,,,
2024-04-23,,,,,,,,,,,,,,,,,,,
2024-04-24,,,,,,,,,,,,,,,,,,,
2024-04-25,,,,,,,,,,,,,,,,,,,
2024-04-26,7.29419043326239,6.869554738144206,4.366195751516143,3.569474235603688,2.0259200047448886,2.33304403597937,8.786449927642504,4.324514977288853,7.797082240573748,13.924009904701778,5.837809136487156,5.651197545735792,1.9198100169819317,2.616991921471771,1.9442965921904332,0.6602011970333336,9.959953223647926,1.2720737662488883,4.804484480936137
2024-04-27,,,,,,,,,,,,,,,,,,,
2024-04-28,,,,,,,,,,,,,,,,,,,
2024-04-29,,,,,,,,,,,,,,,,,,,
2024-04-30,,,,,,,,,,,,,,,,,,,
2024-05-01,,,,,,,,,,,,,,,,,,,
2024-05-02,,,,,,,,,,,,,,,,,,,
2024-05-03,7.294260879786865,6.869374543914955,4.366359155147221,3.880625792789559,2.0250599786079726,2.33304403597937,8.762016618278244,4.319078980152553,7.746193618968242,13.924009904701778,5.740057109426471,5.768712080377664,1.9235030590389344,2.6337875347198363,1.939840724218289,0.6602011970333336,9.766416076899084,1.176958972871064,4.7987711126580095
2024-05-04,,,,,,,,,,,,,,,,,,,
2024-05-05,,,,,,,,,,,,,,,,,,,
2024-05-06,,,,,,,,,,,,,,,,,,,
2024-05-07,,,,,,,,,,,,,,,,,,,
2024-05-08,,,,,,,,,,,,,,,,,,,
2024-05-09,,,,,,,,,,,,,,,,,,,
2024-05-10,7.294326904412826,6.867023774120935,4.366308624662436,3.471061088093712,2.0213133604371407,2.3282980518223515,8.752032397371641,4.317384219137274,7.4653509385181716,13.924009904701778,5.765094685708862,5.676445239727667,1.8927066411992428,2.6382784885618054,1.9491638917384693,0.6532125137753437,9.804529957737032,1.130011942303326,4.783838001569559
2024-05-11,,,,,,,,,,,,,,,,,,,
2024-05-12,,,,,,,,,,,,,,,,,,,
2024-05-13,,,,,,,,,,,,,,,,,,,
2024-05-14,,,,,,,,,,,,,,,,,,,
2024-05-15,,,,,,,,,,,,,,,,,,,
2024-05-16,,,,,,,,,,,,,,,,,,,
2024-05-17,7.294391747641331,6.866488663242626,4.366709946911054,3.437116093048078,2.022469602699501,2.33304403597937,8.777667783587255,4.319235182836141,7.472532738725677,13.919853662583774,5.682165842557355,5.741552379036046,1.893539855419416,2.6447914851103898,1.9505153652970624,0.6535983998669121,9.60269554525507,1.0986437324174632,4.8264075262837896
2024-05-18,,,,,,,,,,,,,,,,,,,
2024-05-19,,,,,,,,,,,,,,,,,,,
2024-05-20,,,,,,,,,,,,,,,,,,,
2024-05-21,,,,,,,,,,,,,,,,,,,
2024-05-22,,,,,,,,,,,,,,,,,,,
2024-05-23,,,,,,,,,,,,,,,,,,,
2024-05-24,7.294391747641331,6.863576937294533,4.3676259533156605,3.4287825114969546,2.01890843162737,2.33304403597937,8.786449927642504,4.318299209725922,7.484522005846707,13.919853662583774,5.669780686235389,5.734280330861621,1.9034155725254032,2.649014990035575,1.95659277863038,0.6454222768454808,9.73455050250628,1.07881917480843,4.827099694166971
2024-05-25,,,,,,,,,,,,,,,,,,,
2024-05-26,,,,,,,,,,,,,,,,,,,
2024-05-27,,,,,,,,,,,,,,,,,,,
2024-05-28,,,,,,,,,,,,,,,,,,,
2024-05-29,,,,,,,,,,,,,,,,,,,
2024-05-30,,,,,,,,,,,,,,,,,,,
2024-05-31,7.294391747641331,6.863297039653573,4.3676259533156605,3.470578480333756,2.020029638605196,2.33304403597937,8.786449927642504,4.318949810169072,7.541980696905151,13.924009904701778,5.6784015629581965,5.768712080377664,1.8905327987489573,2.649014990035575,1.956545283910606,0.6500159532135901,9.844100332595382,1.0766404547798267,4.827099694166971
2024-06-01,,,,,,,,,,,,,,,,,,,
2024-06-02,,,,,,,,,,,,,,,,,,,
2024-06-03,,,,,,,,,,,,,,,,,,,
2024-06-04,,,,,,,,,,,,,,,,,,,
2024-06-05,,,,,,,,,,,,,,,,,,,
2024-06-06,,,,,,,,,,,,,,,,,,,
2024-06-07,7.294391747641331,6.862388956467496,4.3676259533156605,3.4479328655921804,2.019822216570401,2.33304403597937,8.786449927642504,4.317900443988081,7.516609297229599,13.924009904701778,5.663478001231288,5.768712080377664,1.886434307578632,2.649014990035575,1.952102678005244,0.6545615488695165,9.920978450863164,1.1112625162236194,4.827099694166971
2024-06-08,,,,,,,,,,,,,,,,,,,
2024-06-09,,,,,,,,,,,,,,,,,,,
2024-06-10,,,,,,,,,,,,,,,,,,,
2024-06-11,,,,,,,,,,,,,,,,,,,
2024-06-12,,,,,,,,,,,,,,,,,,,
2024-06-13,,,,,,,,,,,,,,,,,,,
2024-06-14,7.294391747641331,6.860678539610915,4.3676259533156605,3.41559332592322,2.02073408288437,2.325515675890195,8.771546329684513,4.321165369859373,7.557672469596207,13.922811866532951,5.663175874885419,5.768712080377664,1.878119477678173,2.649014990035575,1.9585966223556184,0.6464037093942682,9.841437324110013,1.0870712153966449,4.8195842704138325
2024-06-15,,,,,,,,,,,,,,,,,,,
2024-06-16,,,,,,,,,,,,,,,,,,,
2024-06-17,,,,,,,,,,,,,,,,,,,
2024-06-18,,,,,,,,,,,,,,,,,,,
2024-06-19,,,,,,,,,,,,,,,,,,,
2024-06-20,,,,,,,,,,,,,,,,,,,
2024-06-21,7.294391747641331,6.86087524086166,4.3676259533156605,3.3795127069640785,2.023458250200393,2.33304403597937,8.726467954949326,4.321786853094069,7.552708871911077,13.922811866532951,5.694770111785631,5.768712080377664,1.8945929310286076,2.649014990035575,1.973387877951902,0.6245914406447698,9.766968792671893,1.102433700446891,4.806989043379031
2024-06-22,,,,,,,,,,,,,,,,,,,
2024-06-23,,,,,,,,,,,,,,,,,,,
2024-06-24,,,,,,,,,,,,,,,,,,,
2024-06-25,,,,,,,,,,,,,,,,,,,
2024-06-26,,,,,,,,,,,,,,,,,,,
2024-06-27,,,,,,,,,,,,,,,,,,,
2024-06-28,7.294391747641331,6.860490252513023,4.3676259533156605,3.6599569259953824,2.024485680226214,2.331993835573942,8.765171236852341,4.322161384942261,7.501871469913887,13.922597082405598,5.659388725930564,5.726990546061363,1.9070349705423504,2.649014990035575,1.9701185390015163,0.6291036470637665,9.703156696204148,1.1205739249304636,4.780492291079768
