Date,Crypto_PageViews
2015-07-01,134
2015-07-02,122
2015-07-03,103
2015-07-04,76
2015-07-05,93
2015-07-06,98
2015-07-07,101
2015-07-08,118
2015-07-09,115
2015-07-10,100
2015-07-11,63
2015-07-12,74
2015-07-13,91
2015-07-14,121
2015-07-15,80
2015-07-16,91
2015-07-17,92
2015-07-18,60
2015-07-19,65
2015-07-20,90
2015-07-21,107
2015-07-22,79
2015-07-23,91
2015-07-24,81
2015-07-25,88
2015-07-26,93
2015-07-27,116
2015-07-28,124
2015-07-29,129
2015-07-30,107
2015-07-31,139
2015-08-01,127
2015-08-02,113
2015-08-03,113
2015-08-04,109
2015-08-05,142
2015-08-06,123
2015-08-07,111
2015-08-08,85
2015-08-09,67
2015-08-10,111
2015-08-11,114
2015-08-12,103
2015-08-13,116
2015-08-14,124
2015-08-15,85
2015-08-16,102
2015-08-17,125
2015-08-18,126
2015-08-19,113
2015-08-20,212
2015-08-21,140
2015-08-22,69
2015-08-23,76
2015-08-24,93
2015-08-25,110
2015-08-26,117
2015-08-27,84
2015-08-28,101
2015-08-29,57
2015-08-30,61
2015-08-31,105
2015-09-01,109
2015-09-02,112
2015-09-03,110
2015-09-04,139
2015-09-05,110
2015-09-06,68
2015-09-07,87
2015-09-08,110
2015-09-09,117
2015-09-10,93
2015-09-11,89
2015-09-12,66
2015-09-13,65
2015-09-14,92
2015-09-15,90
2015-09-16,94
2015-09-17,132
2015-09-18,86
2015-09-19,87
2015-09-20,83
2015-09-21,93
2015-09-22,102
2015-09-23,111
2015-09-24,110
2015-09-25,94
2015-09-26,52
2015-09-27,63
2015-09-28,96
2015-09-29,102
2015-09-30,93
2015-10-01,86
2015-10-02,106
2015-10-03,57
2015-10-04,59
2015-10-05,91
2015-10-06,106
2015-10-07,87
2015-10-08,87
2015-10-09,103
2015-10-10,64
2015-10-11,64
2015-10-12,90
2015-10-13,102
2015-10-14,97
2015-10-15,101
2015-10-16,125
2015-10-17,71
2015-10-18,81
2015-10-19,115
2015-10-20,106
2015-10-21,117
2015-10-22,131
2015-10-23,82
2015-10-24,62
2015-10-25,66
2015-10-26,117
2015-10-27,94
2015-10-28,93
2015-10-29,87
2015-10-30,92
2015-10-31,79
2015-11-01,60
2015-11-02,107
2015-11-03,90
2015-11-04,131
2015-11-05,116
2015-11-06,102
2015-11-07,65
2015-11-08,77
2015-11-09,118
2015-11-10,124
2015-11-11,118
2015-11-12,115
2015-11-13,106
2015-11-14,69
2015-11-15,63
2015-11-16,112
2015-11-17,106
2015-11-18,123
2015-11-19,101
2015-11-20,102
2015-11-21,85
2015-11-22,66
2015-11-23,117
2015-11-24,110
2015-11-25,107
2015-11-26,82
2015-11-27,90
2015-11-28,74
2015-11-29,68
2015-11-30,107
2015-12-01,117
2015-12-02,100
2015-12-03,123
2015-12-04,127
2015-12-05,99
2015-12-06,91
2015-12-07,117
2015-12-08,137
2015-12-09,123
2015-12-10,140
2015-12-11,135
2015-12-12,98
2015-12-13,94
2015-12-14,108
2015-12-15,106
2015-12-16,105
2015-12-17,80
2015-12-18,90
2015-12-19,63
2015-12-20,58
2015-12-21,92
2015-12-22,74
2015-12-23,85
2015-12-24,95
2015-12-25,51
2015-12-26,59
2015-12-27,74
2015-12-28,93
2015-12-29,69
2015-12-30,83
2015-12-31,76
2016-01-01,62
2016-01-02,73
2016-01-03,65
2016-01-04,81
2016-01-05,93
2016-01-06,110
2016-01-07,90
2016-01-08,98
2016-01-09,69
2016-01-10,80
2016-01-11,81
2016-01-12,91
2016-01-13,128
2016-01-14,95
2016-01-15,79
2016-01-16,70
2016-01-17,75
2016-01-18,103
2016-01-19,99
2016-01-20,102
2016-01-21,107
2016-01-22,72
2016-01-23,71
2016-01-24,59
2016-01-25,99
2016-01-26,75
2016-01-27,99
2016-01-28,103
2016-01-29,91
2016-01-30,77
2016-01-31,62
2016-02-01,85
2016-02-02,107
2016-02-03,104
2016-02-04,112
2016-02-05,89
2016-02-06,74
2016-02-07,68
2016-02-08,71
2016-02-09,93
2016-02-10,95
2016-02-11,89
2016-02-12,73
2016-02-13,51
2016-02-14,63
2016-02-15,92
2016-02-16,72
2016-02-17,111
2016-02-18,88
2016-02-19,98
2016-02-20,80
2016-02-21,52
2016-02-22,122
2016-02-23,81
2016-02-24,86
2016-02-25,76
2016-02-26,78
2016-02-27,51
2016-02-28,55
2016-02-29,77
2016-03-01,89
2016-03-02,129
2016-03-03,108
2016-03-04,87
2016-03-05,74
2016-03-06,61
2016-03-07,97
2016-03-08,78
2016-03-09,96
2016-03-10,116
2016-03-11,87
2016-03-12,65
2016-03-13,67
2016-03-14,98
2016-03-15,104
2016-03-16,93
2016-03-17,100
2016-03-18,112
2016-03-19,58
2016-03-20,62
2016-03-21,93
2016-03-22,77
2016-03-23,100
2016-03-24,84
2016-03-25,76
2016-03-26,69
2016-03-27,65
2016-03-28,95
2016-03-29,94
2016-03-30,83
2016-03-31,86
2016-04-01,93
2016-04-02,72
2016-04-03,79
2016-04-04,94
2016-04-05,85
2016-04-06,105
2016-04-07,84
2016-04-08,99
2016-04-09,78
2016-04-10,79
2016-04-11,84
2016-04-12,84
2016-04-13,79
2016-04-14,116
2016-04-15,101
2016-04-16,66
2016-04-17,76
2016-04-18,116
2016-04-19,100
2016-04-20,98
2016-04-21,101
2016-04-22,94
2016-04-23,57
2016-04-24,73
2016-04-25,104
2016-04-26,101
2016-04-27,102
2016-04-28,102
2016-04-29,87
2016-04-30,41
2016-05-01,63
2016-05-02,84
2016-05-03,82
2016-05-04,79
2016-05-05,118
2016-05-06,89
2016-05-07,55
2016-05-08,57
2016-05-09,83
2016-05-10,112
2016-05-11,112
2016-05-12,95
2016-05-13,78
2016-05-14,48
2016-05-15,74
2016-05-16,98
2016-05-17,101
2016-05-18,118
2016-05-19,97
2016-05-20,104
2016-05-21,53
2016-05-22,59
2016-05-23,107
2016-05-24,90
2016-05-25,95
2016-05-26,83
2016-05-27,82
2016-05-28,45
2016-05-29,64
2016-05-30,90
2016-05-31,103
2016-06-01,85
2016-06-02,82
2016-06-03,88
2016-06-04,66
2016-06-05,58
2016-06-06,86
2016-06-07,82
2016-06-08,104
2016-06-09,99
2016-06-10,77
2016-06-11,42
2016-06-12,63
2016-06-13,90
2016-06-14,93
2016-06-15,85
2016-06-16,64
2016-06-17,73
2016-06-18,49
2016-06-19,60
2016-06-20,61
2016-06-21,66
2016-06-22,120
2016-06-23,111
2016-06-24,90
2016-06-25,73
2016-06-26,78
2016-06-27,68
2016-06-28,86
2016-06-29,83
2016-06-30,63
2016-07-01,70
2016-07-02,46
2016-07-03,55
2016-07-04,59
2016-07-05,66
2016-07-06,79
2016-07-07,86
2016-07-08,52
2016-07-09,38
2016-07-10,41
2016-07-11,80
2016-07-12,71
2016-07-13,71
2016-07-14,81
2016-07-15,73
2016-07-16,58
2016-07-17,52
2016-07-18,73
2016-07-19,59
2016-07-20,73
2016-07-21,75
2016-07-22,92
2016-07-23,97
2016-07-24,105
2016-07-25,108
2016-07-26,132
2016-07-27,102
2016-07-28,119
2016-07-29,83
2016-07-30,64
2016-07-31,69
2016-08-01,111
2016-08-02,79
2016-08-03,119
2016-08-04,198
2016-08-05,204
2016-08-06,80
2016-08-07,62
2016-08-08,99
2016-08-09,114
2016-08-10,139
2016-08-11,278
2016-08-12,121
2016-08-13,73
2016-08-14,68
2016-08-15,77
2016-08-16,97
2016-08-17,87
2016-08-18,225
2016-08-19,183
2016-08-20,192
2016-08-21,173
2016-08-22,95
2016-08-23,155
2016-08-24,130
2016-08-25,148
2016-08-26,199
2016-08-27,104
2016-08-28,89
2016-08-29,139
2016-08-30,152
2016-08-31,201
2016-09-01,131
2016-09-02,118
2016-09-03,80
2016-09-04,80
2016-09-05,104
2016-09-06,114
2016-09-07,125
2016-09-08,144
2016-09-09,159
2016-09-10,75
2016-09-11,75
2016-09-12,72
2016-09-13,125
2016-09-14,114
2016-09-15,126
2016-09-16,115
2016-09-17,86
2016-09-18,68
2016-09-19,81
2016-09-20,108
2016-09-21,112
2016-09-22,68
2016-09-23,77
2016-09-24,56
2016-09-25,58
2016-09-26,95
2016-09-27,96
2016-09-28,90
2016-09-29,96
2016-09-30,88
2016-10-01,39
2016-10-02,65
2016-10-03,65
2016-10-04,139
2016-10-05,113
2016-10-06,102
2016-10-07,74
2016-10-08,53
2016-10-09,62
2016-10-10,87
2016-10-11,72
2016-10-12,63
2016-10-13,76
2016-10-14,58
2016-10-15,69
2016-10-16,42
2016-10-17,55
2016-10-18,74
2016-10-19,67
2016-10-20,78
2016-10-21,77
2016-10-22,67
2016-10-23,40
2016-10-24,84
2016-10-25,73
2016-10-26,88
2016-10-27,87
2016-10-28,68
2016-10-29,44
2016-10-30,60
2016-10-31,75
2016-11-01,72
2016-11-02,79
2016-11-03,89
2016-11-04,68
2016-11-05,57
2016-11-06,58
2016-11-07,78
2016-11-08,83
2016-11-09,100
2016-11-10,269
2016-11-11,93
2016-11-12,75
2016-11-13,71
2016-11-14,79
2016-11-15,91
2016-11-16,79
2016-11-17,72
2016-11-18,64
2016-11-19,64
2016-11-20,50
2016-11-21,82
2016-11-22,88
2016-11-23,83
2016-11-24,69
2016-11-25,75
2016-11-26,58
2016-11-27,68
2016-11-28,73
2016-11-29,76
2016-11-30,96
2016-12-01,92
2016-12-02,65
2016-12-03,58
2016-12-04,76
2016-12-05,55
2016-12-06,56
2016-12-07,66
2016-12-08,79
2016-12-09,70
2016-12-10,68
2016-12-11,43
2016-12-12,65
2016-12-13,71
2016-12-14,69
2016-12-15,77
2016-12-16,51
2016-12-17,53
2016-12-18,50
2016-12-19,79
2016-12-20,69
2016-12-21,79
2016-12-22,69
2016-12-23,81
2016-12-24,52
2016-12-25,48
2016-12-26,48
2016-12-27,65
2016-12-28,74
2016-12-29,49
2016-12-30,58
2016-12-31,49
2017-01-01,40
2017-01-02,81
2017-01-03,60
2017-01-04,59
2017-01-05,77
2017-01-06,57
2017-01-07,46
2017-01-08,60
2017-01-09,79
2017-01-10,67
2017-01-11,73
2017-01-12,85
2017-01-13,78
2017-01-14,45
2017-01-15,45
2017-01-16,67
2017-01-17,81
2017-01-18,81
2017-01-19,78
2017-01-20,65
2017-01-21,72
2017-01-22,61
2017-01-23,65
2017-01-24,66
2017-01-25,68
2017-01-26,74
2017-01-27,77
2017-01-28,57
2017-01-29,78
2017-01-30,91
2017-01-31,86
2017-02-01,78
2017-02-02,76
2017-02-03,81
2017-02-04,63
2017-02-05,37
2017-02-06,91
2017-02-07,93
2017-02-08,68
2017-02-09,67
2017-02-10,65
2017-02-11,75
2017-02-12,50
2017-02-13,69
2017-02-14,78
2017-02-15,70
2017-02-16,69
2017-02-17,74
2017-02-18,54
2017-02-19,44
2017-02-20,60
2017-02-21,73
2017-02-22,64
2017-02-23,63
2017-02-24,62
2017-02-25,58
2017-02-26,40
2017-02-27,75
2017-02-28,74
2017-03-01,52
2017-03-02,77
2017-03-03,73
2017-03-04,48
2017-03-05,45
2017-03-06,67
2017-03-07,83
2017-03-08,75
2017-03-09,73
2017-03-10,61
2017-03-11,36
2017-03-12,42
2017-03-13,58
2017-03-14,64
2017-03-15,54
2017-03-16,66
2017-03-17,53
2017-03-18,53
2017-03-19,677
2017-03-20,50
2017-03-21,62
2017-03-22,62
2017-03-23,55
2017-03-24,49
2017-03-25,48
2017-03-26,54
2017-03-27,58
2017-03-28,74
2017-03-29,62
2017-03-30,69
2017-03-31,48
2017-04-01,50
2017-04-02,43
2017-04-03,48
2017-04-04,61
2017-04-05,72
2017-04-06,74
2017-04-07,68
2017-04-08,50
2017-04-09,36
2017-04-10,67
2017-04-11,67
2017-04-12,64
2017-04-13,67
2017-04-14,62
2017-04-15,56
2017-04-16,46
2017-04-17,49
2017-04-18,61
2017-04-19,63
2017-04-20,82
2017-04-21,46
2017-04-22,56
2017-04-23,50
2017-04-24,65
2017-04-25,61
2017-04-26,55
2017-04-27,68
2017-04-28,85
2017-04-29,63
2017-04-30,47
2017-05-01,60
2017-05-02,58
2017-05-03,62
2017-05-04,65
2017-05-05,81
2017-05-06,59
2017-05-07,64
2017-05-08,83
2017-05-09,74
2017-05-10,62
2017-05-11,75
2017-05-12,80
2017-05-13,51
2017-05-14,69
2017-05-15,103
2017-05-16,97
2017-05-17,107
2017-05-18,99
2017-05-19,169
2017-05-20,111
2017-05-21,136
2017-05-22,324
2017-05-23,200
2017-05-24,183
2017-05-25,121
2017-05-26,129
2017-05-27,113
2017-05-28,92
2017-05-29,96
2017-05-30,106
2017-05-31,99
2017-06-01,89
2017-06-02,107
2017-06-03,83
2017-06-04,108
2017-06-05,184
2017-06-06,148
2017-06-07,215
2017-06-08,203
2017-06-09,106
2017-06-10,105
2017-06-11,101
2017-06-12,148
2017-06-13,166
2017-06-14,134
2017-06-15,122
2017-06-16,102
2017-06-17,113
2017-06-18,104
2017-06-19,124
2017-06-20,149
2017-06-21,128
2017-06-22,120
2017-06-23,91
2017-06-24,104
2017-06-25,106
2017-06-26,112
2017-06-27,138
2017-06-28,137
2017-06-29,238
2017-06-30,145
2017-07-01,95
2017-07-02,102
2017-07-03,101
2017-07-04,141
2017-07-05,139
2017-07-06,141
2017-07-07,141
2017-07-08,79
2017-07-09,118
2017-07-10,136
2017-07-11,181
2017-07-12,185
2017-07-13,161
2017-07-14,164
2017-07-15,114
2017-07-16,107
2017-07-17,148
2017-07-18,133
2017-07-19,148
2017-07-20,132
2017-07-21,107
2017-07-22,138
2017-07-23,141
2017-07-24,149
2017-07-25,142
2017-07-26,151
2017-07-27,135
2017-07-28,119
2017-07-29,89
2017-07-30,85
2017-07-31,92
2017-08-01,210
2017-08-02,162
2017-08-03,148
2017-08-04,131
2017-08-05,91
2017-08-06,95
2017-08-07,131
2017-08-08,156
2017-08-09,134
2017-08-10,163
2017-08-11,193
2017-08-12,140
2017-08-13,228
2017-08-14,284
2017-08-15,188
2017-08-16,182
2017-08-17,200
2017-08-18,159
2017-08-19,121
2017-08-20,173
2017-08-21,204
2017-08-22,218
2017-08-23,240
2017-08-24,257
2017-08-25,190
2017-08-26,168
2017-08-27,163
2017-08-28,207
2017-08-29,206
2017-08-30,262
2017-08-31,213
2017-09-01,202
2017-09-02,131
2017-09-03,194
2017-09-04,191
2017-09-05,181
2017-09-06,226
2017-09-07,231
2017-09-08,198
2017-09-09,195
2017-09-10,119
2017-09-11,164
2017-09-12,171
2017-09-13,203
2017-09-14,215
2017-09-15,142
2017-09-16,138
2017-09-17,135
2017-09-18,176
2017-09-19,192
2017-09-20,232
2017-09-21,170
2017-09-22,171
2017-09-23,151
2017-09-24,129
2017-09-25,173
2017-09-26,161
2017-09-27,216
2017-09-28,173
2017-09-29,170
2017-09-30,121
2017-10-01,122
2017-10-02,155
2017-10-03,168
2017-10-04,151
2017-10-05,178
2017-10-06,114
2017-10-07,105
2017-10-08,130
2017-10-09,148
2017-10-10,163
2017-10-11,191
2017-10-12,238
2017-10-13,232
2017-10-14,142
2017-10-15,160
2017-10-16,183
2017-10-17,223
2017-10-18,230
2017-10-19,223
2017-10-20,218
2017-10-21,153
2017-10-22,182
2017-10-23,239
2017-10-24,207
2017-10-25,208
2017-10-26,192
2017-10-27,172
2017-10-28,145
2017-10-29,156
2017-10-30,215
2017-10-31,222
2017-11-01,217
2017-11-02,238
2017-11-03,197
2017-11-04,234
2017-11-05,216
2017-11-06,270
2017-11-07,239
2017-11-08,263
2017-11-09,261
2017-11-10,215
2017-11-11,177
2017-11-12,159
2017-11-13,237
2017-11-14,203
2017-11-15,222
2017-11-16,270
2017-11-17,235
2017-11-18,178
2017-11-19,164
2017-11-20,237
2017-11-21,216
2017-11-22,215
2017-11-23,196
2017-11-24,209
2017-11-25,204
2017-11-26,178
2017-11-27,233
2017-11-28,283
2017-11-29,330
2017-11-30,253
2017-12-01,237
2017-12-02,129
2017-12-03,148
2017-12-04,198
2017-12-05,184
2017-12-06,139
2017-12-07,200
2017-12-08,178
2017-12-09,130
2017-12-10,121
2017-12-11,164
2017-12-12,148
2017-12-13,147
2017-12-14,145
2017-12-15,101
2017-12-16,87
2017-12-17,99
2017-12-18,104
2017-12-19,119
2017-12-20,111
2017-12-21,91
2017-12-22,75
2017-12-23,72
2017-12-24,64
2017-12-25,82
2017-12-26,76
2017-12-27,102
2017-12-28,88
2017-12-29,65
2017-12-30,55
2017-12-31,50
2018-01-01,61
2018-01-02,84
2018-01-03,75
2018-01-04,94
2018-01-05,87
2018-01-06,92
2018-01-07,87
2018-01-08,91
2018-01-09,91
2018-01-10,127
2018-01-11,102
2018-01-12,111
2018-01-13,66
2018-01-14,70
2018-01-15,78
2018-01-16,75
2018-01-17,101
2018-01-18,59
2018-01-19,60
2018-01-20,47
2018-01-21,56
2018-01-22,62
2018-01-23,72
2018-01-24,53
2018-01-25,85
2018-01-26,64
2018-01-27,48
2018-01-28,52
2018-01-29,59
2018-01-30,61
2018-01-31,416
2018-02-01,60
2018-02-02,71
2018-02-03,57
2018-02-04,61
2018-02-05,62
2018-02-06,64
2018-02-07,64
2018-02-08,68
2018-02-09,68
2018-02-10,50
2018-02-11,51
2018-02-12,68
2018-02-13,58
2018-02-14,50
2018-02-15,66
2018-02-16,30
2018-02-17,40
2018-02-18,33
2018-02-19,53
2018-02-20,52
2018-02-21,58
2018-02-22,53
2018-02-23,52
2018-02-24,37
2018-02-25,26
2018-02-26,49
2018-02-27,59
2018-02-28,43
2018-03-01,45
2018-03-02,41
2018-03-03,38
2018-03-04,41
2018-03-05,58
2018-03-06,54
2018-03-07,51
2018-03-08,41
2018-03-09,48
2018-03-10,42
2018-03-11,665
2018-03-12,53
2018-03-13,68
2018-03-14,75
2018-03-15,56
2018-03-16,49
2018-03-17,31
2018-03-18,73
2018-03-19,61
2018-03-20,117
2018-03-21,95
2018-03-22,78
2018-03-23,80
2018-03-24,66
2018-03-25,67
2018-03-26,88
2018-03-27,78
2018-03-28,91
2018-03-29,102
2018-03-30,61
2018-03-31,48
2018-04-01,69
2018-04-02,84
2018-04-03,81
2018-04-04,91
2018-04-05,91
2018-04-06,80
2018-04-07,37
2018-04-08,51
2018-04-09,81
2018-04-10,86
2018-04-11,93
2018-04-12,76
2018-04-13,70
2018-04-14,34
2018-04-15,65
2018-04-16,86
2018-04-17,85
2018-04-18,59
2018-04-19,90
2018-04-20,94
2018-04-21,67
2018-04-22,58
2018-04-23,98
2018-04-24,81
2018-04-25,71
2018-04-26,76
2018-04-27,192
2018-04-28,55
2018-04-29,69
2018-04-30,78
2018-05-01,72
2018-05-02,85
2018-05-03,99
2018-05-04,59
2018-05-05,48
2018-05-06,68
2018-05-07,106
2018-05-08,101
2018-05-09,117
2018-05-10,68
2018-05-11,73
2018-05-12,72
2018-05-13,61
2018-05-14,83
2018-05-15,97
2018-05-16,88
2018-05-17,105
2018-05-18,82
2018-05-19,295
2018-05-20,274
2018-05-21,167
2018-05-22,162
2018-05-23,121
2018-05-24,99
2018-05-25,85
2018-05-26,79
2018-05-27,61
2018-05-28,102
2018-05-29,104
2018-05-30,82
2018-05-31,91
2018-06-01,60
2018-06-02,58
2018-06-03,60
2018-06-04,276
2018-06-05,189
2018-06-06,76
2018-06-07,91
2018-06-08,79
2018-06-09,80
2018-06-10,55
2018-06-11,403
2018-06-12,80
2018-06-13,133
2018-06-14,85
2018-06-15,49
2018-06-16,32
2018-06-17,52
2018-06-18,420
2018-06-19,60
2018-06-20,61
2018-06-21,446
2018-06-22,59
2018-06-23,37
